clusterhead_1,clusterhead_2,distance
0,2,146.749277
0,4,276.549459
0,6,423.850618
0,10,75.257965
0,12,174.993852
0,15,412.024778
0,17,555.262693
0,18,630.815506
0,19,672.988342
0,20,182.434834
0,21,199.860280
0,23,276.902147
0,30,233.542475
0,32,311.213717
0,34,395.756096
0,36,525.936303
0,40,318.095887
0,41,306.720496
0,43,392.001026
0,45,496.130141
0,47,610.953908
0,49,771.136346
0,53,447.281383
0,55,546.491927
0,57,673.319482
0,60,463.323245
0,61,469.773906
0,62,522.453864
0,64,593.635353
0,66,687.410885
0,68,809.935809
0,69,869.287560
0,70,517.746358
0,74,609.178722
0,77,799.616835
0,80,591.719211
0,81,611.570288
0,82,660.620419
0,84,706.884678
0,86,795.897089
0,89,942.813172
0,91,700.974057
0,92,708.892998
0,93,721.892191
0,94,756.917320
0,95,792.238038
2,4,133.264691
2,6,277.109935
2,10,160.243931
2,12,102.617955
2,15,273.326701
2,17,412.426828
2,18,486.563082
2,19,529.049322
2,20,219.856002
2,21,186.361296
2,23,174.377992
2,30,265.043262
2,32,255.634523
2,34,287.574676
2,36,400.987984
2,40,334.535062
2,41,302.557358
2,43,334.247221
2,45,395.462173
2,47,491.255845
2,49,639.707318
2,53,386.474833
2,55,456.158749
2,57,558.836778
2,60,477.296968
2,61,469.326237
2,62,488.496722
2,64,523.339456
2,66,593.946064
2,68,700.591491
2,69,752.234773
2,70,527.560928
2,74,549.960444
2,77,706.268448
2,80,599.536858
2,81,605.043016
2,82,640.695510
2,84,650.963924
2,86,714.352811
2,89,839.598781
2,91,691.511783
2,92,681.792131
2,93,684.626849
2,94,702.192138
2,95,731.093550
4,6,155.023496
4,10,270.376973
4,12,145.133553
4,15,141.261257
4,17,279.370828
4,18,354.301388
4,19,396.568564
4,20,287.606601
4,21,227.771278
4,23,119.150543
4,30,317.688991
4,32,231.429727
4,34,191.294358
4,36,278.058312
4,40,362.509736
4,41,318.236952
4,43,291.271840
4,45,298.007984
4,47,371.030747
4,49,509.602434
4,53,333.279976
4,55,365.969760
4,57,441.855568
4,60,487.124193
4,61,466.822564
4,62,452.911278
4,64,449.754091
4,66,495.148817
4,68,585.787807
4,69,630.945308
4,70,529.956963
4,74,485.869947
4,77,604.991617
