node_id,join_delay_s
29,220.000
38,220.000
45,220.000
28,220.000
36,220.000
46,220.000
19,220.000
20,220.000
39,220.000
55,220.000
47,220.000
11,220.000
21,220.000
48,220.000
30,220.001
19,220.000
27,395.000
64,220.000
56,220.000
54,220.000
57,220.000
38,220.000
39,220.000
18,220.000
2,220.001
12,220.001
3,220.001
10,220.001
40,220.001
31,220.001
49,220.001
22,255.000
65,220.001
66,220.001
63,220.001
72,220.001
58,220.001
9,220.001
13,220.001
0,225.000
12,220.000
32,220.000
50,220.000
23,230.001
48,220.000
49,220.000
40,220.000
20,220.000
28,220.000
30,220.000
3,220.000
21,220.002
11,220.002
10,235.000
73,220.000
74,220.000
66,220.000
59,220.000
72,220.000
64,220.000
4,220.000
1,220.001
5,220.000
14,220.000
41,220.001
51,220.001
60,220.001
24,220.000
33,220.000
2,220.000
75,220.001
67,220.001
68,220.001
69,220.001
6,220.002
15,220.002
42,220.000
43,230.001
25,220.001
34,220.002
51,220.000
76,220.000
75,220.001
77,220.000
78,220.000
79,220.000
68,220.000
6,220.002
44,220.000
52,220.000
16,220.000
35,230.002
34,220.000
33,220.000
70,220.001
7,220.000
61,220.000
62,220.002
53,220.002
17,220.002
67,220.000
66,220.000
76,220.000
68,220.000
71,220.000
8,220.000
26,220.000
15,220.000
5,220.000
62,220.002
53,220.000
52,220.000
29,220.000
14,220.000
27,220.000
10,220.000
20,220.000
75,220.001
67,220.001
76,220.001
62,220.002
53,220.002
2,220.002
18,220.000
1,220.000
9,220.002
0,220.002
53,220.000
20,220.000
76,220.000
68,220.000
67,220.000
2,220.000
3,220.000
1,230.002
0,220.000
21,220.000
11,220.000
9,220.001
10,220.001
2,220.002
12,235.001
1,220.000
0,220.000
10,220.000
1,220.001
11,220.000
12,220.001
13,220.000
4,220.000
22,220.000
14,220.000
2,220.001
3,220.001
5,220.001
2,220.000
3,220.000
11,220.000
6,220.000
38,220.000
19,220.000
61,220.000
50,220.000
15,220.000
74,220.000
60,220.001
34,220.002
7,220.001
44,220.000
34,220.000
33,220.000
35,220.002
