node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
0,9,100.667021,CLUSTER_HEAD,4,
0,18,163.807353,,6,
0,11,210.313039,,6,
0,2,178.406557,,7,
0,10,107.540929,REGISTERED,5,
0,1,88.019226,CLUSTER_HEAD,6,
1,3,190.009535,,8,
1,9,117.719596,,6,
1,10,82.490041,REGISTERED,5,
1,18,186.661164,,6,
1,11,143.094196,,6,
1,2,93.111961,REGISTERED,7,
2,10,115.439300,,7,
2,20,162.087371,,4,
2,12,138.550967,,4,
2,13,196.476708,,6,
2,4,164.362241,,6,
2,3,97.169654,REGISTERED,5,
2,11,78.849472,REGISTERED,3,
3,4,67.198180,ROUTER,5,
3,12,74.950258,CLUSTER_HEAD,4,
3,13,102.563411,REGISTERED,5,
3,21,158.739105,,5,
3,22,185.555455,,6,
3,14,204.670483,,6,
3,5,157.019012,,6,
3,11,106.645629,REGISTERED,3,
3,20,174.702231,,4,
3,10,200.564431,,4,
4,12,86.224855,CLUSTER_HEAD,4,
4,21,161.889246,,5,
4,11,161.720474,,5,
4,13,47.187154,REGISTERED,5,
4,22,151.430018,,6,
4,14,140.921543,,7,
4,5,90.747838,CLUSTER_HEAD,6,
4,6,161.999019,,7,
4,15,168.669546,,7,
5,13,83.543650,REGISTERED,5,
5,12,163.914075,,6,
5,14,84.395466,REGISTERED,7,
5,23,172.694435,,8,
5,24,197.464965,,8,
5,22,166.057119,,6,
5,6,71.590328,ROUTER,7,
5,15,89.928139,REGISTERED,7,
5,7,166.150296,,8,
6,13,146.501546,,7,
6,14,85.012830,REGISTERED,7,
6,23,168.996918,,8,
6,24,170.704220,,8,
6,15,51.061195,REGISTERED,7,
6,7,97.104306,CLUSTER_HEAD,8,
7,14,168.682968,,8,
7,15,122.469787,,8,
8,17,64.406505,CLUSTER_HEAD,10,
8,16,122.994505,,11,
8,26,149.710924,,11,
9,18,70.123548,ROUTER,3,
9,27,153.809621,,4,
9,11,156.595748,,6,
9,10,51.211784,REGISTERED,5,
9,19,125.258409,,4,
10,18,110.288458,ROUTER,3,
10,27,180.429707,,4,
10,20,145.665228,,4,
10,12,208.289706,,4,
10,11,111.931585,REGISTERED,3,
10,19,125.772783,,4,
11,20,84.296153,CLUSTER_HEAD,2,
11,28,178.043274,,3,
11,29,169.157657,,3,
11,21,131.326291,,5,
11,18,188.156665,,6,
11,12,96.479336,CLUSTER_HEAD,4,
11,13,175.520255,,5,
11,19,131.976424,,3,
12,22,121.332160,,6,
12,14,178.420216,,6,
12,21,84.583992,ROUTER,3,
12,20,127.121808,,4,
12,30,177.648977,,4,
12,13,82.677087,REGISTERED,5,
13,21,137.386878,,5,
13,22,107.022962,REGISTERED,5,
13,23,158.973133,,8,
13,31,215.568507,,6,
13,14,103.422529,REGISTERED,7,
13,24,205.463320,,8,
13,15,139.429013,,7,
14,23,90.569865,CLUSTER_HEAD,6,
14,32,187.565679,,7,
14,24,114.303243,ROUTER,7,
14,33,173.838774,,8,
14,25,166.045413,,8,
14,22,118.301217,,7,
14,15,46.744456,REGISTERED,7,
15,23,119.514500,,8,
15,24,120.416791,,8,
16,25,67.702660,CLUSTER_HEAD,8,
16,24,130.206267,,9,
16,33,149.665824,,9,
16,34,138.976317,,9,
16,17,91.232290,CLUSTER_HEAD,10,
16,26,115.078967,,11,
17,25,139.360432,,10,
17,26,85.407708,REGISTERED,11,
18,27,88.895035,CLUSTER_HEAD,2,
18,28,121.296899,,3,
18,19,98.072755,REGISTERED,3,
18,20,167.558044,,4,
18,29,190.934672,,4,
19,20,77.097630,CLUSTER_HEAD,2,
19,28,51.978173,ROUTER,1,
19,29,96.764123,ROUTER,1,
19,21,173.513433,,3,
19,27,87.524584,CLUSTER_HEAD,2,
19,37,157.278249,,2,
19,38,173.138247,,2,
20,28,107.068939,ROUTER,1,
20,37,183.154845,,2,
20,29,84.912232,ROUTER,1,
20,27,161.405829,,2,
20,22,192.985102,,4,
20,30,161.334186,,4,
20,21,99.224848,ROUTER,3,
20,38,165.882668,,2,
21,31,133.768814,,6,
21,23,189.493600,,6,
21,28,188.720658,,3,
21,29,126.229412,,3,
21,30,95.523687,REGISTERED,5,
21,39,173.997385,,6,
21,40,169.829284,,6,
21,22,94.180667,REGISTERED,5,
22,23,95.885909,CLUSTER_HEAD,6,
22,32,135.845211,,7,
22,24,155.757218,,7,
22,33,198.980039,,7,
22,30,116.405943,,5,
22,31,109.850498,CLUSTER_HEAD,4,
22,39,199.918393,,5,
22,40,152.339663,,5,
23,31,145.252176,,6,
23,32,98.097882,ROUTER,5,
23,40,176.535046,,6,
23,24,59.991183,ROUTER,7,
23,41,176.874813,,6,
23,42,179.174421,,8,
23,25,143.487404,,8,
23,34,171.779580,,8,
23,33,106.797334,REGISTERED,7,
24,32,119.984617,,7,
24,42,155.696747,,8,
24,25,84.859965,CLUSTER_HEAD,8,
24,34,115.510152,,9,
24,33,59.548717,REGISTERED,7,
25,42,180.903843,,8,
25,35,160.911376,,10,
25,34,75.693508,ROUTER,9,
25,33,84.770337,REGISTERED,7,
27,28,64.185999,ROUTER,1,
27,37,137.227329,,2,
27,29,141.433740,,2,
28,37,107.517735,ROOT,0,
28,45,187.669169,,1,
28,36,137.718083,,1,
28,46,176.807527,,1,
28,38,136.666079,,2,
28,29,77.940977,ROUTER,1,
29,37,103.269867,ROOT,0,
29,45,212.870310,,1,
29,36,176.484628,,1,
29,46,167.457783,,2,
29,38,83.084881,REGISTERED,1,
29,39,142.710419,,2,
30,39,86.048385,ROUTER,3,
30,47,196.044647,,4,
30,38,122.249535,,4,
30,31,56.759167,CLUSTER_HEAD,4,
30,32,149.466927,,6,
30,40,79.438582,ROUTER,5,
30,49,168.775946,,6,
30,48,151.464222,,4,
30,41,170.755076,,6,
31,39,105.121719,ROUTER,3,
31,47,210.903855,,4,
31,48,153.341809,,4,
31,38,166.945551,,4,
31,49,132.521474,,6,
31,32,93.881278,ROUTER,5,
31,40,42.724382,ROUTER,5,
31,41,118.214832,,6,
32,39,186.986035,,6,
32,49,139.667703,,6,
32,40,102.921581,ROUTER,5,
32,41,78.893935,CLUSTER_HEAD,6,
32,50,158.664742,,7,
32,51,164.301951,,7,
32,33,116.474512,,7,
32,42,118.336875,,7,
33,42,103.786457,ROUTER,7,
33,41,167.604467,,8,
33,43,142.871760,,8,
33,51,179.807832,,8,
33,34,69.232854,ROUTER,9,
33,35,174.627705,,10,
34,42,123.990906,,8,
34,35,106.708627,CLUSTER_HEAD,10,
34,44,144.637556,,11,
35,44,88.288126,REGISTERED,9,
35,53,154.695029,,10,
35,52,183.428355,,10,
35,43,124.288184,,10,
36,37,90.607162,ROOT,0,
36,38,164.052854,,2,
36,45,55.497332,ROUTER,1,
36,46,104.613780,ROUTER,1,
36,55,156.631956,,2,
36,47,212.143863,,2,
37,45,112.843072,ROUTER,1,
37,46,70.272645,ROUTER,1,
37,55,151.984738,,2,
37,39,152.400707,,2,
37,47,150.118885,,2,
37,38,73.537044,REGISTERED,1,
