================================================================================
NODE ADDRESS INFORMATION (ch_addr and net_addr)
================================================================================
Node ID    Role            addr                 ch_addr              net_addr  
--------------------------------------------------------------------------------
0          CLUSTER_HEAD    [1,0]                [0,254]              1         
1          ROUTER          [11,1]               [1,254]              11        
2          REGISTERED      [11,2]               None                 11        
3          ROUTER          [12,3]               [3,254]              12        
4          CLUSTER_HEAD    [3,4]                [4,254]              3         
5          REGISTERED      [6,5]                None                 6         
6          CLUSTER_HEAD    [15,6]               [6,254]              15        
7          UNREGISTERED    None                 None                 None      
8          REGISTERED      [17,8]               None                 17        
9          REGISTERED      [0,9]                None                 0         
10         REGISTERED      [11,10]              None                 11        
11         CLUSTER_HEAD    [20,11]              [11,254]             20        
12         CLUSTER_HEAD    [21,12]              [12,254]             21        
13         REGISTERED      [12,13]              None                 12        
14         UNREGISTERED    None                 None                 None      
15         ROUTER          [24,15]              [15,254]             24        
16         REGISTERED      [6,16]               None                 6         
17         CLUSTER_HEAD    [25,17]              [17,254]             25        
18         REGISTERED      [27,18]              None                 27        
19         UNREGISTERED    None                 None                 None      
20         ROUTER          [29,20]              [20,254]             29        
21         ROUTER          [29,21]              [21,254]             29        
22         CLUSTER_HEAD    [23,22]              [22,254]             23        
23         ROUTER          [32,23]              [23,254]             32        
24         CLUSTER_HEAD    [33,24]              [24,254]             33        
25         ROUTER          [24,25]              [25,254]             24        
26         REGISTERED      [34,26]              None                 34        
27         CLUSTER_HEAD    [36,27]              [27,254]             36        
28         UNREGISTERED    None                 None                 None      
29         CLUSTER_HEAD    [30,29]              [29,254]             30        
30         ROUTER          [39,30]              [30,254]             39        
31         ROUTER          [39,31]              [31,254]             39        
32         CLUSTER_HEAD    [31,32]              [32,254]             31        
33         ROUTER          [32,33]              [33,254]             32        
34         CLUSTER_HEAD    [33,34]              [34,254]             33        
35         REGISTERED      [34,35]              None                 34        
36         ROUTER          [37,36]              [36,254]             37        
37         CLUSTER_HEAD    [38,37]              [37,254]             38        
38         ROUTER          [39,38]              [38,254]             39        
39         CLUSTER_HEAD    [48,39]              [39,254]             48        
40         ROUTER          [39,40]              [40,254]             39        
41         REGISTERED      [49,41]              None                 49        
42         REGISTERED      [32,42]              None                 32        
43         REGISTERED      [34,43]              None                 34        
44         ROUTER          [34,44]              [44,254]             34        
45         REGISTERED      [37,45]              None                 37        
46         UNREGISTERED    None                 None                 None      
47         CLUSTER_HEAD    [55,47]              [47,254]             55        
48         ROUTER          [47,48]              [48,254]             47        
49         CLUSTER_HEAD    [40,49]              [49,254]             40        
50         REGISTERED      [49,50]              None                 49        
51         UNREGISTERED    None                 None                 None      
52         UNREGISTERED    None                 None                 None      
53         CLUSTER_HEAD    [44,53]              [53,254]             44        
54         REGISTERED      [64,54]              None                 64        
55         ROUTER          [64,55]              [55,254]             64        
56         REGISTERED      [47,56]              None                 47        
57         REGISTERED      [47,57]              None                 47        
58         REGISTERED      [66,58]              None                 66        
59         ROUTER          [49,59]              [59,254]             49        
60         CLUSTER_HEAD    [59,60]              [60,254]             59        
61         ROUTER          [60,61]              [61,254]             60        
62         REGISTERED      [70,62]              None                 70        
63         ROUTER          [64,63]              [63,254]             64        
64         ROOT            [64,254]             [64,254]             64        
65         ROUTER          [64,65]              [65,254]             64        
66         CLUSTER_HEAD    [65,66]              [66,254]             65        
67         UNREGISTERED    None                 None                 None      
68         REGISTERED      [77,68]              None                 77        
69         ROUTER          [60,69]              [69,254]             60        
70         CLUSTER_HEAD    [61,70]              [70,254]             61        
71         REGISTERED      [70,71]              None                 70        
72         CLUSTER_HEAD    [63,72]              [72,254]             63        
73         REGISTERED      [64,73]              None                 64        
74         UNREGISTERED    None                 None                 None      
75         REGISTERED      [66,75]              None                 66        
76         REGISTERED      [77,76]              None                 77        
77         CLUSTER_HEAD    [69,77]              [77,254]             69        
78         REGISTERED      [70,78]              None                 70        
79         REGISTERED      [70,79]              None                 70        
================================================================================
