node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.000000,51.699269,165.826929,251.875736,310.215561,375.143144,472.176938,543.429248,616.906638,93.802511,112.181995,165.848491,275.923958,334.122305,385.181223,474.820425,522.143824,642.943269,156.058993,170.330058,210.145838,287.654623,371.652097,411.869232,510.343590,587.626340,632.194061,255.255045,265.359998,278.481556,342.984950,411.634193,469.467551,543.112478,613.969905,698.510031,325.917749,333.998761,351.651757,394.226448,447.641067,506.854842,607.007088,650.264808,697.294214,393.515493,375.454307,441.026632,492.313457,525.274483,585.200882,632.016732,707.638798,732.024821,463.108626,466.941595,503.661552,548.174463,581.597205,643.727562,700.523395,743.091285,803.153187,551.075174,552.703086,587.805210,595.253621,650.119287,695.152927,749.026286,820.773178,856.125837,625.007974,605.887788,616.287054,664.221050,708.344962,767.824712,778.560022,838.757077
1,51.699269,0.000000,117.049090,200.451124,259.950026,324.000190,421.352789,492.332287,565.964872,88.860616,83.680253,115.776372,224.964603,282.433639,333.572059,423.257337,470.519026,591.341457,150.437175,136.505561,167.559985,238.994914,321.725376,361.228618,459.446652,536.065962,580.730928,249.056720,243.365570,241.018705,298.089889,364.746703,419.800726,493.244827,563.019841,647.663521,313.750450,309.275604,318.404534,356.610127,403.086410,459.909001,559.241075,600.754350,647.582435,382.337121,353.069037,413.643202,456.154173,485.303890,541.248583,586.872748,660.301084,683.365292,448.784076,448.260205,477.458388,513.427625,543.714688,602.868980,656.836344,697.135987,756.726054,537.683775,534.011903,561.118279,562.352627,613.584926,657.107354,708.154777,776.798120,810.979275,612.427292,585.076473,592.202477,635.720887,674.845004,730.750339,738.695291,796.968468
2,165.826929,117.049090,0.000000,94.350932,145.159814,212.421492,307.826311,379.806891,452.640983,182.529595,148.022594,80.589918,143.597749,179.257362,235.123073,314.702983,362.694809,482.603753,228.358512,163.822410,153.752003,176.655522,242.890137,274.639853,368.048682,435.705187,481.594298,312.630070,276.241570,230.792287,250.646460,302.624898,339.018699,409.365474,469.725178,554.517781,360.638725,328.277254,312.820020,333.666073,350.293548,393.645603,486.434059,517.538361,562.576140,426.878210,374.387558,418.332106,432.614848,447.453321,486.288807,525.846049,588.061760,604.099283,483.525523,473.159612,482.334253,492.222550,511.292460,558.460158,600.589673,630.793666,687.592680,571.339571,555.695045,561.787434,545.294727,583.808966,621.404408,661.734349,717.745742,746.811651,645.904389,600.155296,598.852851,629.475664,653.267268,696.945167,695.375146,746.003339
3,251.875736,200.451124,94.350932,0.000000,67.812834,124.021408,222.107026,292.222409,366.136300,242.750294,199.054217,105.652494,68.706272,84.952449,140.926416,223.091759,270.676745,391.293808,270.953416,185.545795,146.658779,113.978807,157.502730,183.770339,274.583564,341.472172,387.290128,334.640154,277.851356,204.570115,189.247687,225.530046,249.608857,317.868162,375.662352,460.382214,365.062998,312.888849,279.087951,284.172010,277.370202,310.720429,398.732187,425.624339,469.985160,425.130132,357.034998,384.935451,376.989322,381.090724,407.979835,443.506883,499.787048,513.092255,470.963283,453.067502,446.053001,436.091723,446.778734,485.191315,519.905960,544.809397,600.045740,554.725774,529.926933,519.593401,490.574122,519.434446,552.524573,585.839599,634.616922,661.114586,627.152933,567.910944,560.170644,580.511691,593.111024,628.201105,620.908699,666.812304
4,310.215561,259.950026,145.159814,67.812834,0.000000,70.338329,162.748180,234.993967,307.520890,309.280708,266.265063,173.189624,112.551860,67.709730,119.663783,174.009554,222.036452,340.003432,338.766151,252.853805,211.034013,157.679800,166.443862,176.191552,250.979640,302.882802,349.354780,400.586084,340.310072,260.190946,224.832506,241.478569,241.773323,301.251297,345.368568,428.300857,426.984047,369.182320,328.053719,323.349603,295.604683,313.524236,390.005900,405.293669,446.568823,484.533187,411.629075,431.208222,408.489172,402.769691,414.937174,443.730521,488.115166,494.442752,525.887068,504.935846,489.525938,465.817445,468.773292,497.072707,521.428012,537.208867,588.797315,607.073470,578.092886,558.244791,520.468349,540.306519,568.333964,593.073558,631.035650,652.902710,677.921858,612.135959,600.595113,613.644681,616.949915,643.258276,629.530722,668.838376
5,375.143144,324.000190,212.421492,124.021408,70.338329,0.000000,98.312722,168.335080,242.130746,364.310421,319.390572,226.194223,135.793398,58.471910,73.308761,103.707158,151.782086,270.489357,385.749405,295.950004,246.711712,170.491106,141.186499,132.776271,189.204078,233.467769,279.913444,435.434676,367.228700,278.081715,220.032182,214.271976,192.293262,242.673892,278.477182,360.247531,450.992935,384.011120,333.346663,316.386662,267.175927,269.762981,335.021854,342.706351,382.019011,502.568097,422.676905,429.746985,389.698468,373.759482,371.854605,394.540473,429.862894,432.015070,535.444388,509.998038,483.172541,443.712212,438.554951,456.800650,472.176321,481.174463,530.030677,611.525528,576.712732,544.748837,497.538470,507.777864,530.632584,547.625738,577.033318,595.665397,679.265653,604.971591,588.710080,592.996036,586.393490,604.075190,584.893166,618.654674
6,472.176938,421.352789,307.826311,222.107026,162.748180,98.312722,0.000000,72.706589,144.827226,462.425973,417.321284,324.340444,228.692037,151.186681,130.594098,49.955319,78.873489,182.139889,481.978949,391.475912,340.170175,256.129302,200.751352,170.489512,171.004975,172.512527,215.718630,525.968548,453.983756,361.252548,289.040633,259.935458,205.307036,226.514713,229.644979,301.650276,534.562296,461.974538,404.943718,377.162668,305.827467,283.890994,320.449604,306.595609,337.476433,580.957086,496.692971,491.954071,433.693293,404.693789,380.033537,389.716959,402.582606,392.796510,606.103210,576.862269,538.836227,481.403665,464.979990,466.352726,464.214936,457.829220,498.561530,676.222316,635.907391,590.715387,532.475924,528.455368,542.331614,545.056043,556.088820,566.730190,739.932362,657.311637,635.770019,628.801995,608.174361,611.548162,582.992752,605.150988
7,543.429248,492.332287,379.806891,292.222409,234.993967,168.335080,72.706589,0.000000,74.272417,529.769610,484.200035,392.153417,291.188853,216.154540,182.794907,78.929686,54.596927,111.868821,545.519976,454.525915,401.357174,312.524618,244.395001,205.423250,167.288628,129.273960,164.579385,582.553105,507.559141,413.156902,332.810524,289.908854,218.998810,215.594820,191.010471,250.386515,584.443278,507.933108,446.937626,411.868147,328.007757,290.204914,302.796336,272.946048,295.721943,625.835770,538.921184,524.952666,454.402111,416.786119,376.419297,376.021597,371.545159,353.117058,644.201885,612.212209,565.950873,496.160709,471.830439,460.693898,445.655635,428.066801,461.906017,708.698373,664.391102,609.529933,544.014374,529.457675,536.378409,528.524679,525.940778,530.663742,768.533200,680.131642,654.763684,639.294489,608.459400,601.171071,566.222911,579.556944
8,616.906638,565.964872,452.640983,366.136300,307.520890,242.130746,144.827226,74.272417,0.000000,604.032534,558.443680,466.423466,364.991919,290.381466,255.052489,151.199188,114.449796,71.158921,619.227864,528.197362,474.649467,384.724448,312.712925,271.123855,213.571153,143.651724,159.995840,653.953628,577.892158,483.164732,399.824860,350.568325,272.760209,251.392228,200.524437,236.118323,652.805313,574.621292,511.924489,473.089880,382.991342,335.360773,326.630255,281.173064,292.346711,691.399515,603.408478,583.968664,505.917605,462.608281,410.402959,400.733399,378.052603,349.772822,705.663295,672.109325,620.685934,542.659735,512.450549,490.701267,463.517039,434.255929,459.049572,766.165485,719.348692,657.826675,587.340123,564.166701,564.707050,546.713020,529.477409,527.117175,822.997856,730.882973,702.808906,680.709252,641.456405,624.340804,583.539553,587.312209
9,93.802511,88.860616,182.529595,242.750294,309.280708,364.310421,462.425973,529.769610,604.032534,0.000000,46.029894,138.117022,242.381777,313.715854,356.196045,455.151152,500.006395,619.988341,63.458456,95.587125,148.040224,239.116493,326.081961,370.026313,468.644899,553.528092,595.685694,163.244363,173.223930,201.205934,278.872520,351.637202,419.973279,493.562539,571.373778,654.162504,232.368798,242.541914,266.759234,314.210723,380.109768,445.307263,547.120233,597.535931,645.239293,300.267454,282.759107,350.379668,409.174037,447.316019,514.483030,563.826990,645.394760,674.639108,369.413439,373.254385,412.123348,463.003345,500.050865,566.379393,628.361502,676.337964,737.441210,457.548940,458.975235,496.288421,508.016109,566.468684,613.236433,671.159672,748.651975,786.653414,531.666045,512.406812,523.637130,573.519106,621.266498,684.388763,698.942933,762.148969
