packet_type,source,dest,creation_time,arrival_time,delay_ms
PROBE,4,3,6.745,6.745,0.000
PROBE,3,4,7.617,7.617,0.000
PROBE,4,3,7.745,7.745,0.000
PROBE,3,4,8.617,8.617,0.000
PROBE,4,3,8.745,8.745,0.000
PROBE,3,4,9.617,9.617,0.000
PROBE,4,3,9.745,9.745,0.000
PROBE,3,4,10.617,10.617,0.000
PROBE,4,3,10.745,10.745,0.000
PROBE,3,4,11.617,11.617,0.000
PROBE,4,3,11.745,11.745,0.000
PROBE,3,4,12.617,12.617,0.000
PROBE,22,32,12.840,12.840,0.000
PROBE,32,22,13.291,13.291,0.000
PROBE,3,4,13.617,13.617,0.000
PROBE,22,32,13.840,13.840,0.000
PROBE,32,22,14.291,14.291,0.000
PROBE,3,4,14.617,14.617,0.000
PROBE,22,32,14.840,14.840,0.000
PROBE,32,22,15.291,15.291,0.000
PROBE,3,4,15.617,15.617,0.000
PROBE,22,32,15.840,15.840,0.000
PROBE,32,22,16.291,16.291,0.000
PROBE,3,4,16.617,16.617,0.000
PROBE,58,68,16.827,16.827,0.000
HEART_BEAT,68,58,16.827,16.827,0.000
PROBE,58,68,16.827,16.827,0.000
HEART_BEAT,68,58,16.827,16.827,0.000
PROBE,22,32,16.840,16.840,0.000
PROBE,32,22,17.291,17.291,0.000
PROBE,58,68,17.827,17.827,0.000
HEART_BEAT,68,58,17.827,17.827,0.000
PROBE,22,32,17.840,17.840,0.000
PROBE,32,22,18.291,18.291,0.000
PROBE,58,68,18.827,18.827,0.000
HEART_BEAT,68,58,18.827,18.827,0.000
PROBE,22,32,18.840,18.840,0.000
PROBE,32,22,19.291,19.291,0.000
PROBE,58,68,19.827,19.827,0.000
HEART_BEAT,68,58,19.827,19.827,0.000
PROBE,22,32,19.840,19.840,0.000
PROBE,32,22,20.291,20.291,0.000
PROBE,58,68,20.827,20.827,0.000
HEART_BEAT,68,58,20.827,20.827,0.000
PROBE,22,32,20.840,20.840,0.000
PROBE,32,22,21.291,21.291,0.000
PROBE,58,68,21.827,21.827,0.000
HEART_BEAT,68,58,21.827,21.827,0.000
PROBE,22,32,21.840,21.840,0.000
PROBE,32,22,22.291,22.291,0.000
PROBE,58,68,22.827,22.827,0.000
HEART_BEAT,68,58,22.827,22.827,0.000
PROBE,58,68,23.827,23.827,0.000
HEART_BEAT,68,58,23.827,23.827,0.000
PROBE,58,68,24.827,24.827,0.000
